Country of Nationality,2014 AIR,2014 SEA,2014 RAIL,2014 LAND,2015 AIR,2015 SEA,2015 RAIL,2015 LAND,2016 AIR,2016 SEA,2016 RAIL,2016 LAND,2017 AIR,2017 SEA,2017 RAIL,2017 LAND,2018 AIR,2018 SEA,2018 RAIL,2018 LAND,2019 AIR,2019 SEA,2019 RAIL,2019 LAND,2020 AIR,2020 SEA,2020 RAIL,2020 LAND
United Arab Emirates,99.9,0.1,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,99.9,0.1,0.0,0.0,100.0,0.0,0.0,0.0
Yemen,99.8,0.0,0.0,0.2,99.5,0.3,0.0,0.2,99.8,0.0,0.0,0.1,99.7,0.1,0.0,0.2,99.6,0.1,0.0,0.3,99.75,0.2,0.0,0.05,99.7,0.2,0.0,0.1
Afghanistan,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,99.97,0.01,0.0,0.02,100.0,0.0,0.0,0.0
Bangladesh,99.5,0.4,0.0,0.1,99.7,0.2,0.0,0.1,14.4,0.0,12.1,73.5,14.4,0.0,12.7,72.9,17.0,0.1,14.6,68.3,15.79,0.04,3.27,80.89,15.8,0.1,2.9,81.2
Bhutan,99.9,0.0,0.0,0.1,99.9,0.1,0.0,0.0,93.4,0.0,0.0,6.6,87.6,0.0,0.0,12.4,91.1,0.0,0.0,8.9,88.2,0.02,0.0,11.78,85.3,0.0,0.0,14.7
Iran,93.9,0.0,0.0,6.1,96.2,0.1,0.0,3.7,99.8,0.1,0.0,0.1,99.7,0.2,0.0,0.1,99.5,0.5,0.0,0.0,99.4,0.31,0.0,0.29,97.9,0.1,0.0,1.9
Maldives,15.1,0.1,0.0,84.8,10.2,0.1,0.0,89.7,99.9,0.0,0.0,0.0,100.0,0.0,0.0,0.0,99.9,0.0,0.0,0.1,99.93,0.05,0.0,0.02,99.5,0.4,0.0,0.1
Nepal,14.3,0.1,0.0,85.6,14.7,0.1,0.0,85.2,95.7,0.0,0.0,4.3,97.4,0.0,0.0,2.6,94.7,0.0,0.0,5.3,93.36,0.05,0.02,6.58,89.6,0.2,0.0,10.2
Pakistan,89.3,0.2,0.0,10.5,89.3,0.2,0.0,10.5,9.5,0.1,21.3,69.1,11.8,0.2,39.7,48.3,12.8,0.1,32.6,54.5,6.66,0.04,26.27,67.04,3.6,1.9,0.0,94.5
Sri Lanka,88.0,1.0,0.0,11.0,90.4,0.0,0.0,9.6,97.3,0.3,0.0,2.4,90.8,0.2,0.0,9.0,85.3,0.2,0.0,14.5,85.95,0.18,0.0,13.88,89.0,0.6,0.0,10.4
Indonesia,94.3,2.8,0.0,2.9,94.4,3.5,0.0,2.1,95.4,4.2,0.0,0.3,96.2,2.7,0.0,1.2,95.0,2.7,0.0,2.3,95.23,3.01,0.02,1.75,83.8,14.4,0.0,1.8
Malaysia,99.1,0.1,0.0,0.8,99.2,0.3,0.0,0.5,99.4,0.5,0.0,0.1,99.3,0.4,0.0,0.4,99.2,0.3,0.0,0.5,98.97,0.59,0.0,0.44,98.2,1.4,0.0,0.4
Myanmar,59.9,2.0,0.0,38.1,64.1,2.8,0.0,33.1,80.4,4.4,0.0,15.3,77.4,3.4,0.0,19.2,64.6,1.5,0.0,33.9,63.76,1.24,0.0,35.0,56.1,2.6,0.0,41.3
Philippines,81.1,18.8,0.0,0.1,76.1,23.8,0.0,0.1,77.0,23.0,0.0,0.0,78.8,21.1,0.0,0.1,86.4,13.6,0.0,0.0,84.88,15.03,0.0,0.08,61.2,38.7,0.0,0.1
Singapore,99.6,0.1,0.0,0.3,99.7,0.1,0.0,0.2,99.8,0.1,0.0,0.1,99.6,0.1,0.0,0.3,99.6,0.2,0.0,0.2,99.64,0.14,0.0,0.21,99.2,0.3,0.0,0.5
Thailand,79.2,0.9,0.0,19.9,81.6,0.8,0.0,17.6,92.7,0.9,0.0,6.4,89.5,0.6,0.0,9.9,83.7,0.3,0.0,16.0,84.98,0.69,0.0,14.34,73.6,2.9,0.0,23.6
Vietnam,74.3,4.4,0.0,21.3,79.8,6.5,0.0,13.7,88.5,7.6,0.0,3.9,80.0,5.2,0.0,14.8,77.6,1.7,0.0,20.7,78.81,2.42,0.0,18.77,77.1,6.5,0.0,16.4
China,96.9,0.1,0.0,2.1,97.2,1.6,0.0,1.2,98.3,1.2,0.0,0.5,98.4,1.0,0.0,0.6,98.1,0.4,0.0,1.5,98.25,0.62,0.0,1.13,93.9,4.3,0.0,1.9
Japan,98.8,0.1,0.0,1.1,96.4,0.1,0.0,3.5,99.4,0.2,0.0,0.4,99.3,0.2,0.0,0.5,99.1,0.3,0.0,0.6,98.98,0.25,0.0,0.77,98.6,0.2,0.0,1.2
Korea (Republic Of ,95.5,0.3,0.0,4.2,98.1,1.2,0.0,0.7,98.0,0.3,0.0,1.7,97.4,0.3,0.0,2.3,95.9,0.3,0.0,3.8,96.32,0.41,0.0,3.28,94.0,0.9,0.0,5.0
Republic Of China Taiwan,94.1,0.1,0.0,5.8,97.3,0.5,0.0,2.2,98.1,0.0,0.0,1.9,97.1,0.2,0.0,2.7,96.2,0.2,0.0,3.6,95.9,0.31,0.0,3.79,93.8,0.4,0.0,5.8
Australia,99.1,0.1,0.0,0.8,98.8,0.8,0.0,0.4,98.5,1.3,0.0,0.2,98.9,0.8,0.0,0.3,97.9,1.7,0.0,0.4,97.77,1.85,0.01,0.38,98.1,1.1,0.0,0.9
New Zealand,99.1,0.2,0.0,0.7,98.8,0.7,0.0,0.5,98.9,0.8,0.0,0.2,98.9,0.7,0.0,0.4,98.7,0.9,0.0,0.4,97.58,1.95,0.0,0.48,98.2,0.8,0.0,1.0
